sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,year,broken_m5_level,penetration,acceptance_margin,m1_clean_path,m1_direct_transfer,m1_change_count,d1_atr,entry_trigger,sl_exec,limit_entry,planned_risk,improved,scale,accept,market,segment,n_prior,scale_baseline,accept_baseline,high_scale,high_accept,geom_valid,state_valid,high_high,bar_open,p1,p2,plus_di14,minus_di14,disp24,available_at,s1,s2,s3,p1_state,p2_state,s1_state,s2_state,s3_state,fill_i,fill_time,hit1_raw,hit3_raw,hit5_raw,maxR_pre_struct_stop,struct_stop_at,mfe_6h_d1,mae_6h_d1,mfe_24h_d1,mae_24h_d1,mfe_48h_d1,mae_48h_d1
2023-01-23 16:53:00,-1,23070.63,2023-01-22 17:00:00,2023-01-22 17:30:00,182,1,23113.49,2023-01-23 17:00:00,22620.43,1,6521,2023,22726.99,42.86000000000058,106.56000000000132,True,True,1,919.132857142858,22620.43,23132.25,22673.71,458.5400000000009,True,0.4988832641946684,0.1159353614353915,BTCUSD,BTCUSD,0,,,False,False,True,False,False,2023-01-23 15:00:00,-1,-1,17.30542855572768,21.46006372207787,-100.86999999999898,2023-01-23 16:00:00,1,-1,0,ALIGNED,ALIGNED,OPPOSED,ALIGNED,NEUTRAL,32611,2023-01-23 17:01:00,0,0,0,0.009421206437823746,2023-01-23 20:14:00,0.013969688821606846,0.5528036518892786,0.013969688821606846,0.5528036518892786,0.36185193186745873,0.5528036518892786
2023-01-25 21:18:00,-1,22733.73,2023-01-25 14:30:00,2023-01-25 16:00:00,204,1,22743.66,2023-01-25 21:35:00,22653.57,1,7152,2023,22679.6,9.930000000000293,26.02999999999884,True,True,1,939.9964285714294,22653.57,22762.42,22666.585,95.83499999999913,True,0.1019525150171533,0.0276915945729264,BTCUSD,BTCUSD,1,,,False,False,True,False,False,2023-01-25 20:00:00,-1,-1,16.383619441410993,24.96098401104007,-266.619999999999,2023-01-25 21:00:00,-1,1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL,35766,2023-01-25 21:36:00,0,0,0,0.0,2023-01-25 21:53:00,0.0,1.2350525647893824,0.0,1.2350525647893824,0.1238781302360567,1.2350525647893824
2023-01-26 18:12:00,1,22849.2,2023-01-26 12:45:00,2023-01-26 14:00:00,211,1,22844.54,2023-01-26 18:35:00,22993.7,-1,7404,2023,22993.25,4.659999999999855,0.4500000000007276,True,True,1,1018.9007142857153,23012.46,22844.54,23012.235,167.69499999999607,True,0.1645842402981885,0.0004416524531697,BTCUSD,BTCUSD,2,,,False,False,True,False,False,2023-01-26 17:00:00,1,1,20.18791880262105,14.362089565658431,373.7599999999984,2023-01-26 18:00:00,1,1,1,ALIGNED,ALIGNED,ALIGNED,ALIGNED,ALIGNED,37026,2023-01-26 18:36:00,0,0,0,0.8139479412027919,2023-01-27 03:36:00,0.1339630035451361,0.06314157905473665,0.1339630035451361,0.4719350897080248,0.47449667393640593,0.4719350897080248
2023-01-29 13:04:00,-1,23488.17,2023-01-29 03:15:00,2023-01-29 03:45:00,232,2,23590.56,2023-01-29 13:05:00,23310.54,1,8196,2023,23348.32,102.39000000000306,37.77999999999884,True,True,1,868.0107142857154,23310.54,23609.32,23329.43,279.8899999999994,True,0.3224499368424506,0.0435248083672422,BTCUSD,BTCUSD,3,,,False,False,True,False,False,2023-01-29 12:00:00,1,1,37.51959635083299,8.676973533875326,470.8100000000013,2023-01-29 13:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED,40986,2023-01-29 13:06:00,0,0,0,0.1279073921897865,2023-01-29 15:10:00,0.041243730533279226,0.3940849973050028,0.24596470583395097,0.736811181560461,0.9447348823047772,0.736811181560461
2023-01-31 00:40:00,1,22531.38,2023-01-27 03:30:00,2023-01-27 04:15:00,215,1,22490.63,2023-01-31 01:20:00,22767.36,-1,8631,2023,22740.95,40.75,26.40999999999985,True,True,1,937.3192857142866,22786.12,22490.63,22772.915,282.2849999999962,True,0.3011620525708912,0.0281760979449751,BTCUSD,BTCUSD,4,,,False,False,True,False,False,2023-01-30 23:00:00,-1,-1,10.035007055325668,31.6684129639134,-1049.760000000002,2023-01-31 00:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED,43231,2023-01-31 02:31:00,1,1,1,5.2236038046655615,,0.13586085546394572,0.06705825961118547,0.5641567479293127,0.06705825961118547,1.0990758599562396,0.06705825961118547
2023-02-01 18:54:00,1,22913.71,2023-02-01 11:00:00,2023-02-01 13:15:00,257,1,22910.64,2023-02-01 19:25:00,23018.38,-1,9136,2023,23008.5,3.069999999999709,9.88000000000102,True,True,1,936.2007142857148,23037.14,22910.64,23032.2,121.56000000000132,True,0.1298439513504825,0.0105532925250319,BTCUSD,BTCUSD,5,,,False,False,True,False,False,2023-02-01 17:00:00,-1,-1,13.602813231794862,24.03910632779504,-141.65000000000146,2023-02-01 18:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED,45686,2023-02-01 19:26:00,1,0,0,1.329631457716348,2023-02-01 21:31:00,0.8234345351767489,0.30035225962686807,1.29807634351913,0.30035225962686807,1.29807634351913,0.30035225962686807
2023-02-01 21:32:00,1,22803.08,2023-01-31 23:30:00,2023-02-01 00:45:00,251,2,22751.01,2023-02-01 21:45:00,23256.82,-1,9164,2023,23193.83,52.07000000000335,62.98999999999796,True,True,1,936.2007142857148,23275.58,22751.01,23244.085,493.0750000000007,True,0.5266765902610938,0.0672825805821531,BTCUSD,BTCUSD,6,,,False,False,True,False,False,2023-02-01 20:00:00,-1,-1,15.716133894987568,19.795702873609383,-97.79999999999929,2023-02-01 21:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED,45826,2023-02-01 21:46:00,1,0,0,2.034933833595292,2023-02-05 21:28:00,1.0717520128849043,0.07153914644371737,1.0717520128849043,0.07153914644371737,1.0717520128849043,0.07153914644371737
2023-02-05 18:20:00,1,23008.99,2023-02-05 14:45:00,2023-02-05 15:30:00,287,1,22990.85,2023-02-05 18:30:00,23139.16,-1,10271,2023,23118.51,18.140000000003056,20.65000000000145,True,True,1,813.7978571428575,23157.92,22990.85,23147.595,156.74499999999898,True,0.1926092562473819,0.025374851775232,BTCUSD,BTCUSD,7,,,False,False,True,False,False,2023-02-05 17:00:00,-1,-1,9.033297836975091,34.9839102903047,-320.52999999999884,2023-02-05 18:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED,51361,2023-02-05 18:31:00,0,0,0,0.03307920507829727,2023-02-05 19:17:00,0.006371361087385457,0.4902507379421179,0.006371361087385457,0.6384570755988023,0.006371361087385457,0.6384570755988023
2023-02-10 07:38:00,1,21700.62,2023-02-10 06:00:00,2023-02-10 06:30:00,315,2,21626.72,2023-02-10 07:45:00,21827.32,-1,11582,2023,21817.39,73.89999999999782,9.930000000000293,True,True,1,787.8164285714281,21846.08,21626.72,21841.115,214.3949999999968,True,0.2721382700647229,0.0126044591606279,BTCUSD,BTCUSD,8,,,False,False,True,False,False,2023-02-10 06:00:00,-1,-1,6.756089534216888,36.09831702896206,-777.8199999999997,2023-02-10 07:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED,57916,2023-02-10 07:46:00,0,0,0,0.39093728864945515,2023-02-10 17:45:00,0.10638899743685597,0.1226618238657872,0.10638899743685597,0.4859190366138627,0.10638899743685597,0.4859190366138627
2023-02-11 19:35:00,1,21656.53,2023-02-11 14:45:00,2023-02-11 15:30:00,327,1,21652.27,2023-02-11 19:55:00,21688.03,-1,12010,2023,21686.29,4.259999999998399,1.7399999999979627,True,True,1,753.9528571428566,21706.79,21652.27,21705.92,53.64999999999782,True,0.0711582952325524,0.0023078366021342,BTCUSD,BTCUSD,9,,,False,False,True,False,False,2023-02-11 18:00:00,-1,1,15.3096025284873,22.227763117107656,83.22000000000116,2023-02-11 19:00:00,1,-1,0,OPPOSED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL,60084,2023-02-11 20:26:00,0,0,0,0.0,2023-02-11 20:30:00,0.24994931475442878,0.1251935039515537,0.4965164551781406,0.1251935039515537,0.4965164551781406,0.46260186786972163
